"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_6540341_6540688",2.28749605367669,-1.77694845527778,5.4426440688886,-0.326486250577219,0.744056490346157,NA
"Ga0573226_01_6540826_6541437",13.2791481446993,-4.51528137249912,3.57950519873577,-1.26142612506719,0.207155360689879,NA
"Ga0573226_01_654142_655215",2.44587676381058,-1.19652059997622,4.3819944228224,-0.273053884720729,0.784811794749703,NA
"Ga0573226_01_6541434_6542639",4.62069042078224,-2.99734585901591,3.50936404157628,-0.854099438959774,0.39304989475941,NA
"Ga0573226_01_6542714_6544003",2.02860345232108,-0.768668149031442,4.26594592115737,-0.180187035475335,0.857005736045664,NA
"Ga0573226_01_6544176_6547697",4.15858440447198,-1.7662423152688,3.04782514979996,-0.579509069076594,0.562245729044239,NA
"Ga0573226_01_6547766_6550258",3.44333159186841,-2.17135388911245,3.07603766760616,-0.705893140379599,0.480254593737781,NA
"Ga0573226_01_6550474_6551157",19.2900083005368,-5.03580774958308,3.19625030399313,-1.57553610344339,0.11513275175117,NA
"Ga0573226_01_6551607_6552476",26.4614111714053,-3.41724550292127,2.76175588487315,-1.23734524171322,0.215958938529993,NA
"Ga0573226_01_655223_655621",2.7097773938391,-2.19387882645379,4.43080237493328,-0.495142559023934,0.620499493874604,NA
"Ga0573226_01_6552533_6553066",29.5607430860571,-5.33169881024703,2.67999594665671,-1.98944286348579,0.0466523424673091,NA
"Ga0573226_01_6553183_6554832",3.55761151528092,-2.62854724136893,3.7114277211565,-0.708230750766139,0.478801972838894,NA
"Ga0573226_01_6554920_6557241",2.58813312411686,-2.17627499334129,3.83426760207314,-0.567585578055273,0.570316402219131,NA
"Ga0573226_01_655659_656681",41.6173614188251,-2.34443569704419,2.16821652604065,-1.08127378833576,0.27957534345722,0.355033542953441
"Ga0573226_01_6557550_6559613",13.1615745264338,-4.50869540794897,3.10922415907722,-1.45010304091008,0.147029787260893,NA
"Ga0573226_01_6559702_6560145",10.8565756968193,-1.67412679045122,2.86170351680786,-0.585010564727772,0.558540613076996,NA
"Ga0573226_01_6560195_6561217",5.45681984158834,-3.26365094428828,3.32119607442149,-0.98267337162765,0.325768220384628,NA
"Ga0573226_01_6561307_6562206",3.11585866277158,-2.37069907408225,3.95559591544075,-0.59932792043499,0.548954232679603,NA
"Ga0573226_01_6562324_6564828",0.242635833677654,1.00038786440106,5.7705639720226,0.173360501547376,0.862368070167863,NA
"Ga0573226_01_6564825_6565562",3.15165099846586,-2.01350612865962,4.73270239401962,-0.425445329333183,0.67051206762787,NA
"Ga0573226_01_6565618_6566568",0.782525312146695,-0.0976547241114014,5.75883461661889,-0.0169573760339616,0.98647061987529,NA
"Ga0573226_01_6566679_6566966",29.2524694541736,-1.20147317731253,3.15334657915349,-0.381015263357149,0.703191922772032,NA
"Ga0573226_01_6567030_6567137",105.819248759755,-4.54129464926997,4.04187434793246,-1.12356156039165,0.261199071043284,0.335686743205984
"Ga0573226_01_6567409_6568524",3.03007944321444,-2.35021914049091,3.91064998150216,-0.600979159885883,0.547853866926829,NA
"Ga0573226_01_656828_658603",14.4424789171424,-2.09998906524612,2.93437868745163,-0.71565032632849,0.474207290117772,NA
"Ga0573226_01_6569124_6569903",2.69027828546639,-0.764045353361257,3.59057257305772,-0.212792065280719,0.831489153003405,NA
"Ga0573226_01_6569900_6570829",1.84166632872351,-1.51884739533282,4.34215085066744,-0.349791485272641,0.726495189635226,NA
"Ga0573226_01_6570978_6575000",5.61207431980299,-3.18108286209392,2.91338520082301,-1.09188543320509,0.274883461179861,NA
"Ga0573226_01_6575428_6575889",187.473451969069,-8.2975122084259,2.60556626058253,-3.18453317958255,0.00144987688656544,0.0249531443108894
"Ga0573226_01_6576265_6578061",52.1154250680995,-6.50921171818878,3.0954962745695,-2.10280069521131,0.0354831952402878,0.0974551761556245
"Ga0573226_01_6578177_6578815",43.2995839976697,-6.23999707071441,3.52685384117169,-1.76928144792112,0.0768469178517878,0.12501961262455
"Ga0573226_01_6578843_6580051",19.9325119275713,-5.1298266071603,3.34285653288018,-1.53456379497701,0.124891011642411,NA
"Ga0573226_01_6580055_6580438",32.2495615596412,-5.82275799084218,3.35432457256864,-1.73589581594464,0.0825822577524726,NA
"Ga0573226_01_6580459_6582669",9.59059917272582,-4.02952038239136,2.81414809941246,-1.43187928994662,0.152178370175064,NA
"Ga0573226_01_6582829_6583905",10.076147291516,-0.216692914707246,2.68339936367632,-0.0807531363540206,0.935638278061632,NA
"Ga0573226_01_6584448_6584726",78.0816729958814,-7.03508835630103,3.97271542204309,-1.77085132181027,0.0765854289262845,0.124904914009452
